#Id	Can be broken by	Normal Drop	Ultimallet Drop	Description
0	Intangible Block	0	0	Set on layer 0 will create sea floor
1	Intangible With Hammer	0	0	Indestructible
2	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
3	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
4	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
5	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
6	Giant Mallet	Clay x1 {1005}	Clay x1 {1005}	0
7	Giant Mallet	Earth x1 {1001}	Mossy Earth  x1 {1006}	0
8	Giant Mallet	Chalk x1 {1007}	Chalk x1 {1007}	0
9	Giant Mallet	Chunky Chalk x1 {1008}	Chunky Chalk x1 {1008}	0
10	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
11	Cypress Stick	Sand x1 {1010}	Sand x1 {1010}	0
12	Sledgehammer	Sandstone x1 {1011}	Sandstone x1 {1011}	0
13	Sledgehammer	Sandy Sandstone x1 {1012}	Sandy Sandstone x1 {1012}	0
14	Sledgehammer	Bloodstone x1 {1013}	Bloodstone x1 {1013}	0
15	Sledgehammer	Ash x1 {1014}	Ash x1 {1014}	0
16	Intangible Block	Nothing {-1}	Nothing {-1}	0
17	Cypress Stick	Poisonous Peat x1 {1016} [With hammer]	Poisonous Peat x1 {1016}	0
18	Cypress Stick	Nothing {-1}	Nothing {-1}	0
19	Cypress Stick	Snow x1 {1018}	Snow x1 {1018}	0
20	Giant Mallet	Ice x1 {1019}	Ice x1 {1019}	0
21	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
22	Giant Mallet	Nothing {-1}	Crumbly Clodstone x1 {1021}	Breaks when stepped into
23	Sledgehammer	Basalt x1 {1022}	Basalt x1 {1022}	0
24	Intangible Block	Nothing {-1}	Nothing {-1}	0
25	Giant Mallet	Lava x1 {1024}	Lava x1 {1024}	Set near liquid lava will eventually transform into lava
26	Ultimallet	Nothing {-1}	Vault Wall x1 {1025}	0
27	Ultimallet	Nothing {-1}	Viny Vault Wall x1 {1026}	0
28	Sledgehammer	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
29	Giant Mallet	Mud-Brick Wall x1 {1028}	Mud-Brick Wall x1 {1028}	0
30	Giant Mallet	Timbered Wall x1 {1030}	Timbered Foundation x1 {1029}	0
31	Giant Mallet	Timbered Wall x1 {1030}	Timbered Wall Midsection x1 {2285}	0
32	Giant Mallet	Timbered Wall x1 {1030}	Timbered Capital x1 {1031}	0
33	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Pedestal x1 {1032}	0
34	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Column Midsection x1 {2286}	0
35	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Capital x1 {1034}	0
36	Giant Mallet	Stone Wall x1 {1036}	Stone Foundation x1 {1035}	0
37	Giant Mallet	Stone Wall x1 {1036}	Stone Wall Midsection x1 {2287}	0
38	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
39	Giant Mallet	Castle Wall x1 {1039}	Castle Foundation x1 {1038}	0
40	Giant Mallet	Castle Wall x1 {1039}	Castle Wall Midsection x1 {2288}	0
41	Giant Mallet	Castle Wall x1 {1039}	Castle Crenellation x1 {1040}	0
42	Giant Mallet	Castle Battlement x1 {1041}	Castle Battlement x1 {1041}	0
43	Giant Mallet	Wooden Wall x1 {1042}	Wooden Wall x1 {1042}	0
44	Giant Mallet	Plumberry Lumber x1 {1043}	Plumberry Lumber x1 {1043}	0
45	Giant Mallet	Flagstone x1 {1044}	Flagstone x1 {1044}	0
46	Giant Mallet	Straw Floor x1 {1045}	Straw Floor x1 {1045}	0
47	Giant Mallet	Wooden Floor x1 {1046}	Wooden Floor x1 {1046}	0
48	Giant Mallet	Hardwood Tile x1 {1047}	Hardwood Tile x1 {1047}	0
49	Giant Mallet	Purple Flagstone x1 {1048}	Purple Flagstone x1 {1048}	0
50	Giant Mallet	Blue Flagstone x1 {1049}	Blue Flagstone x1 {1049}	0
51	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	The one without the pattern
52	Giant Mallet	Fancy Carpet x1 {1051}	Fancy Carpet x1 {1051}	0
