#Id	ImageId	Tab	Color	Can be broken by	Default Name
#Need to change all liquids tab to 3.					
0	0	2	0	8	Empty
1	1	2	0	8	Bedrock
2	2	0	0	2	Earth
3	3	0	0	2	Grassy Earth
4	4	0	0	2	Limegrassy Earth
5	5	0	0	2	Tilled Soil
6	6	0	0	2	Clay
7	7	0	0	2	Mossy Earth
8	8	0	0	2	Chalk
9	9	0	0	2	Chunky Chalk
10	10	0	0	4	Obsidian
11	11	0	0	1	Sand
12	12	0	0	3	Sandstone
13	13	0	0	3	Sandy Sandstone
14	14	0	0	3	Bloodstone
15	15	0	0	3	Ash
16	16	1	0	8	Witchgrassy Earth*
17	17	0	0	1	Poisonous Peat
18	18	0	0	1	Powder Snow
19	19	0	0	1	Snow
20	20	0	0	2	Ice
21	21	0	0	2	Clodstone
22	22	0	0	2	Crumbly Clodstone
23	23	0	0	3	Basalt
24	-1	1	0	8	Translucent Block
25	24	0	0	2	Lava
26	25	0	0	5	Vault Wall
27	26	0	0	5	Viny Vault Wall
28	27	0	0	3	Cracked Vault Wall
29	28	0	0	2	Mud-Brick Wall
30	29	0	0	2	Timbered Foundation
31	30	0	0	2	Timbered Wall Midsection
32	31	0	0	2	Timbered Capital
33	32	0	0	2	Hardwood Pedestal
34	33	0	0	2	Hardwood Column Midsection
35	34	0	0	2	Hardwood Capital
36	35	0	0	2	Stone Foundation
37	36	0	0	2	Stone Wall Midsection
38	37	4	0	8	Default Block
39	38	0	0	2	Castle Foundation
40	39	0	0	2	Castle Wall Midsection
41	40	0	0	2	Castle Crenellation
42	41	0	0	2	Castle Battlement
43	42	0	0	2	Wooden Wall
44	43	0	0	2	Plumberry Lumber
45	44	0	0	2	Flagstone
46	45	0	0	2	Straw Floor
47	46	0	0	2	Wooden Floor
48	47	0	0	2	Hardwood Tile
49	48	0	0	2	Purple Flagstone
50	49	0	0	2	Blue Flagstone
51	50	0	0	2	Carpet Midsection
52	51	0	0	2	Fancy Carpet
53	52	0	0	2	Castle Tile
54	53	0	0	2	Carved Castle Tile
55	37	4	0	8	Default Block
56	37	4	0	8	Default Block
57	54	0	0	5	Bronze Temple Tile
58	55	0	0	5	Blue Temple Tile
59	37	4	0	8	Default Block
60	37	4	0	8	Default Block
61	56	1	0	2	Golemite*
62	57	0	0	2	Coal Vein
63	58	0	0	2	Copper Vein
64	59	0	0	2	Iron Vein
65	60	0	0	3	Silver Vein
66	61	0	0	3	Gold Vein
67	62	0	0	3	Zenithium Vein
68	63	0	0	3	Ruby Vein
69	64	0	0	3	Mythril Vein
70	65	0	0	3	Orichalcum Vein
71	37	4	0	8	Default Block
72	37	4	0	8	Default Block
73	56	0	0	2	Golemite
74	66	0	0	2	Palm Lumber
75	67	0	0	2	Cedar Lumber
76	68	0	0	2	Time-Honoured Turf
77	69	0	0	2	8-Bit Brick
78	70	0	0	2	Olde Worlde Wall
79	71	0	0	2	Eyewall
80	-1	1	0	7	Dummy Block
81	16	0	0	2	Witchgrassy Earth
82	72	0	0	2	Lemongrassy Earth
83	73	1	0	2	Sulphur Ore
84	37	4	0	8	Default Block
85	74	0	0	1	Strange Sand
86	75	1	0	1	Unused Lava Block
87	76	1	0	1	Unused Ice Block
88	77	0	0	2	Bonestone
89	78	0	0	2	Hargon Block
90	79	0	0	2	Slimy Block
91	80	0	0	2	Retro Roof
92	81	0	0	2	Black Block
93	82	0	0	2	Grey Block
94	83	0	0	2	White Block
95	84	0	0	2	Burgundy Block
96	85	0	0	2	Red Block
97	86	0	0	2	Purple Block
98	87	0	0	2	Pink Block
99	88	0	0	2	Green Block
100	89	0	0	2	Lime-Green Block
101	90	0	0	2	Orange Block
102	91	0	0	2	Yellow Block
103	92	0	0	2	Navy Block
104	93	0	0	2	Blue Block
105	94	0	0	2	Beige Block
106	95	0	0	2	Cyan Block
107	96	0	0	2	Silver Block
108	97	0	0	2	Gold Block
109	98	0	0	3	Fortress Foundation
110	99	0	0	3	Fortress Wall Midsection
111	100	0	0	3	Fortress Battlement
112	37	4	0	8	Default Block
113	37	4	0	8	Default Block
114	37	4	0	8	Default Block
115	21	2	0	7	Clodstone*
116	37	4	0	8	Default Block
117	37	4	0	8	Default Block
118	22	1	0	2	Crumbly Clodstone
119	5	0	0	2	Tilled Soil
120	101	0	0	9	Clear water full block
121	101	0	0	9	Clear water surface block
122	101	0	0	9	Clear water surface block
123	101	0	0	9	Clear water surface block
124	102	1	0	2	Witchgrassy Block*
125	103	1	0	2	Lemongrassy Block*
126	104	1	0	2	Grassy Block*
127	105	1	0	2	Limegrassy Block*
128	101	0	0	9	Clear water full block
129	37	4	0	8	Default Block
130	106	0	0	3	Light Dolomite
131	107	0	0	3	Dark Dolomite
132	108	0	0	2	Stony Sand
133	37	4	0	8	Default Block
134	109	0	0	5	Masonry Wall
135	37	4	0	8	Default Block
136	37	4	0	8	Default Block
137	37	4	0	8	Default Block
138	110	0	0	2	Mossy Bark
139	111	0	0	2	Bark
140	37	4	0	8	Default Block
141	112	0	0	2	Stony Soil
142	101	0	0	9	Clear water surface block
143	101	0	0	9	Clear water surface block
144	101	0	0	9	Clear water surface block
145	101	0	0	9	Clear water shallow block
146	113	0	0	1	Seaside Sand
147	114	0	0	2	Arid Earth
148	37	4	0	8	Default Block
149	115	0	0	3	Chert
150	37	4	0	8	Default Block
151	37	4	0	8	Default Block
152	37	4	0	8	Default Block
153	116	0	0	3	Chunky Chert
154	37	4	0	8	Default Block
155	117	0	0	1	Leaves
156	118	0	0	2	Spoiled Soil
157	37	4	0	8	Default Block
158	119	0	0	2	Moss
159	37	4	0	8	Default Block
160	37	4	0	8	Default Block
161	120	0	0	2	Humus
162	121	0	0	2	Tilled Humus
163	10	2	0	6	Obsidian*
164	55	2	0	6	Blue Temple Tile*
165	115	2	0	6	Chert*
166	122	2	0	6	Citadel Battlement*
167	123	2	0	6	Golden Citadel Capital*
168	124	2	0	6	Alcoved Citadel Wall*
169	125	2	0	6	Golden Citadel Foundation*
