#ID	IMAGE	X-Y-Z	NAME
0	0	1x1x1	Null
1	1	1x1x1	Grass
2	2	1x1x1	Stalwort
3	3	1x1x1	Medicinal Shrub
4	4	1x1x1	Coralily
5	5	1x1x1	Daffodaisy
6	6	1x1x1	Milkblossom
7	7	1x1x1	Ivy
8	8	1x1x1	Tingleweed
9	9	1x1x1	Cotton Plant
10	10	1x1x1	Marshroom
11	11	1x2x2	Large Lily Pad
12	12	1x1x1	Fibrous Fern
13	13	2x2x2	Bigonia
14	14	1x1x1	Pongsettia
15	15	1x1x1	Sandwort
16	16	1x1x1	Prickly Peach Cactus
17	17	1x1x1	Cactus Crown
18	18	1x1x1	Cactus Trunk
19	19	1x1x1	Witchgrass
20	20	1x1x1	Bogwort
21	21	1x1x1	Frogstool
22	22	1x1x1	Tainted Tree
23	23	1x1x1	Twisted Tree Trunk
24	24	1x1x1	Freezia
25	25	1x2x1	Septic Shrub
26	26	1x1x1	Shadowgrass
27	27	1x1x1	Plumberry Seedling
28	28	1x4x1	Plumberry Sapling
29	29	1x1x1	Plumberry Tree
30	30	1x1x1	Plumberry Stump
31	31	1x1x1	Big Plumberry Tree
32	32	1x1x1	Palm Seedling
33	33	1x4x1	Palm Sapling
34	34	1x1x1	Palm Tree
35	35	1x1x1	Palm Stump
36	36	1x1x1	Cedar Seedling
37	37	1x1x1	Cedar Sapling
38	38	1x1x1	Cedar Tree
39	39	1x1x1	Cedar Stump
40	40	1x5x1	Snowy Cedar
41	41	1x1x1	Pumice
42	42	1x1x1	Dead Tree
43	43	1x2x1	Metal Memorial
44	44	1x2x1	Huge Horn
45	45	1x1x1	Wooden Memorial
46	46	1x1x1	Gravestone
47	47	1x1x1	Dilapidated Crate
48	48	1x1x1	Broken Brickwork
49	49	1x1x1	¿Tattered Banner of Erdrick
50	50	1x2x1	Broken Barricade
51	51	1x1x1	Tattered Tent
52	52	1x1x1	Crate
53	53	1x1x1	Barrel
54	54	1x1x1	Pot
55	55	1x1x1	Leather Sack
56	56	1x1x1	Washtub
57	57	1x2x1	Signpost
58	58	1x1x1	Diagonal Fencing
59	59	1x2x1	Barricade
60	60	1x1x1	Ladder
61	61	1x1x1	Stone Steps
62	62	1x1x1	Armourer’s Sign
63	63	1x1x1	Shop Sign
64	64	1x1x1	Inn Sign
65	0	1x1x1	Wall-Mounted Banner [White]
66	66	1x1x1	Porched Window
67	67	1x1x1	Arched Window
68	68	1x1x1	Stone Window
69	69	1x1x1	Wooden Door
70	70	2x2x1	Magic Door
71	71	1x1x1	Cell Door
72	72	1x1x1	Steel Doors
73	73	1x1x1	Wooden Gate
74	74	1x1x1	(Lock)
75	75	1x2x1	Buttress
76	76	1x1x1	Ridge Tiling
77	77	1x1x1	Well
78	78	1x1x1	Torch
79	79	1x1x1	Sconce
80	80	1x1x1	Bonfire
81	81	3x1x1	Cookfire
82	82	1x1x1	Wall Lamp
83	83	1x1x1	Candlestick
84	84	1x1x1	Candelabrum
85	85	1x1x1	Brazier
86	86	1x1x1	Pot Plant
87	87	1x1x1	Bottles
88	88	1x1x1	Crockery
89	89	1x1x1	Dressing Table
90	90	1x1x1	Small Table
91	91	1x1x1	Big Table
92	92	1x1x1	Stone Table
93	93	1x1x1	Dining Table
94	94	1x1x1	Wooden Stool
95	95	1x1x1	Comfy Stool
96	96	3x2x2	Throne
97	97	1x1x2	Straw Mattress
98	98	1x1x1	Simple Bed
99	99	2x1x2	King-Sized Bed
100	100	1x1x1	Towel Rail
101	101	1x1x1	Bookcase
102	102	1x1x1	Chest Of Drawers
103	103	1x1x1	Wardrobe
104	104	1x1x1	Grandfather Clock
105	105	1x1x1	Ornamental Swords
106	106	1x1x1	Ornamental Armour
107	107	1x1x1	Stove
108	108	1x1x1	Sink
109	109	2x1x1	Bathtub
110	110	1x1x1	Goddess Statue
111	111	1x1x1	Clover Carving
112	112	1x1x1	Item Display Stand
113	113	1x1x1	Treasure Chest
114	114	1x1x1	Decorative Drapery
115	115	1x2x1	Bold Banner
116	116	1x3x1	Big Bold Banner
117	117	1x2x1	Pretty Pillar
118	118	1x1x1	Column
119	119	1x1x1	Stone Coping
120	120	1x1x1	Stone Capping
121	121	2x2x1	Decorative Shield
122	122	1x1x1	Small Stones
123	123	1x1x1	Big Rock
